slot,date,candidate_ID
Morning(9-12),2020-01-21,10000
Evening(3-6),2020-01-21,10001
Evening(3-6),2020-01-22,10002
Evening(3-6),2020-01-22,10003
Morning(9-12),2020-01-21,10004
Morning(9-12),2020-01-22,10005
Evening(3-6),2020-01-21,10006
Morning(9-12),2019-01-21,10007
Morning(9-12),2020-01-22,10008
Morning(9-12),2020-01-24,20000
Evening(3-6),2020-01-24,20001
Morning(9-12),2019-01-25,20002
Evening(3-6),2020-01-24,20003
Morning(9-12),2020-01-24,20004
Evening(3-6),2020-01-24,20005
Morning(9-12),2020-01-25,20006
Morning(9-12),2020-01-27,30000
Evening(3-6),2020-01-27,30001
Morning(9-12),2019-01-28,30002
Morning(9-12),2020-01-27,30003
Evening(3-6),2020-01-27,30004
Morning(9-12),2020-01-29,30005
Morning(9-12),2020-01-29,40000
Evening(3-6),2020-01-29,40001
Morning(9-12),2019-01-30,40002
Evening(3-6),2020-01-29,40003
Morning(9-12),2020-01-29,40004
Morning(9-12),2020-01-30,40005
