response_ID,Not_attempted,No_of_correct_answers,no_of_wrong_answers,candidate_ID
440,20,45,10,10000
441,18,42,15,10001
442,20,42,13,10002
443,20,50,5,10003
444,15,55,5,10004
445,25,38,12,10005
446,34,26,15,10006
447,40,20,15,10007
448,36,14,25,10008
540,25,39,11,20000
541,31,28,16,20001
542,35,20,20,20002
543,26,24,25,20003
544,24,17,34,20004
545,26,28,21,20005
546,20,40,15,20006
640,13,51,11,30000
641,13,55,7,30001
642,8,60,7,30002
643,20,38,17,30003
644,25,28,22,30004
645,25,30,20,30005
740,23,37,15,40000
741,9,60,6,40001
742,15,42,18,40002
743,17,36,22,40003
744,20,37,18,40004
745,21,32,22,40005
